Liste de régions : Tone_Peoples_1_F4_2006.wav

Nom                                Début           Fin      Longueur
d5b+d1_a_couverture naxi    00:00:00,185  00:00:04,690  00:00:04,504
d5b+d1_s_couverture naxi    00:18:59,449  00:19:00,587  00:00:01,137
d5b+d1_s_couverture naxi    00:19:02,734  00:19:03,890  00:00:01,155
d5b+d1_s_couverture naxi    00:19:12,162  00:19:13,578  00:00:01,416
d5b+d1_s_couverture naxi_erroné  00:00:06,887  00:00:07,778  00:00:00,891
d5b+d2a_s_feutre naxi        00:12:13,133  00:12:14,457  00:00:01,323
d5b+d2a_s_feutre naxi        00:12:15,873  00:12:17,777  00:00:01,904
d5b+d2b_a_bande molletière naxi  00:05:30,859  00:05:32,136  00:00:01,277
d5b+d2b_s_bande molletière naxi  00:05:36,920  00:05:37,964  00:00:01,044
d5b+d2b_s_bande molletière naxi)  00:05:43,735  00:05:44,391  00:00:00,655
d5b+d2b_s_bande molletière naxi_détachant chaque syllabe_très clair  00:05:49,841  00:05:51,119  00:00:01,277
d5b+d2b_s_bande molletière naxi_deux dernières syllabes  00:05:45,592  00:05:46,649  00:00:01,056
d5b+d2b_s_tuile naxi        00:14:25,867  00:14:27,307  00:00:01,439
d5b+d3_a_coeur naxi         00:17:30,141  00:17:32,184  00:00:02,043
d5b+d3_s_coeur naxi         00:17:35,388  00:17:41,960  00:00:06,571
d5b+d3_s_coeur naxi         00:18:24,329  00:18:25,490  00:00:01,160
d5b+d3_s_coeur naxi         00:18:30,435  00:18:32,177  00:00:01,741
d5b+d3_s_coeur naxi_détachant les syllabes  00:17:50,493  00:17:52,281  00:00:01,787
d5b+d3_s_coeur naxi_deux dernières syllabes  00:18:26,047  00:18:29,809  00:00:03,761
d5b+d3_s_coeur naxi_vérification du fait que ce n'est pas LMHL_exemple d'erreur: ce qui lui fait dire que ce n'est pas bon, c'est le débit très lent.  00:18:32,641  00:18:43,729  00:00:11,087
d5b+d3_s_d5b+d5a_coeur naxi_coussin de selle naxi_vérification de l'identité entre les divers exemples de LH+LR  00:18:50,590  00:18:54,329  00:00:03,738
d5b+d3_a_couteau naxi      00:08:16,742  00:08:18,043  00:00:01,300
d5b+d3_s_couteau naxi      00:08:20,318  00:08:21,317  00:00:00,998
d5b+d3_s_couteau naxi      00:08:23,418  00:08:24,719  00:00:01,300
d5b+d3_s_couteau naxi)     00:08:42,818  00:08:43,994  00:00:01,175
d5b+d3_s_couteau naxi)     00:08:48,844  00:08:50,173  00:00:01,329
d5b+d3_s_couteau naxi_détachant les syllabes  00:08:36,665  00:08:38,500  00:00:01,834
d5b+d3_s_couteau naxi_détachant les syllabes  00:08:52,048  00:08:53,778  00:00:01,729
d5b+d3_s_couteau naxi_détachant les syllabes_soulignant le ton final M et non L  00:08:54,788  00:08:56,298  00:00:01,509
d5b+d3_s_couteau naxi_deux dernières syllabes  00:08:27,377  00:08:28,352  00:00:00,975
d5b+d3_a_vêtement naxi      00:02:33,762  00:02:35,155  00:00:01,393
d5b+d3_a_vêtement naxi      00:02:37,570  00:02:38,963  00:00:01,393
d5b+d3_s_vêtement naxi      00:02:42,812  00:02:43,429  00:00:00,616
d5b+d3_s_vêtement naxi)     00:02:44,803  00:02:45,411  00:00:00,608
d5b+d3_s_vêtement naxi)     00:02:55,891  00:02:56,901  00:00:01,010
d5b+d3_s_vêtement naxi_détachant chaque syllabe_très clair  00:02:48,646  00:02:49,784  00:00:01,137
d5b+d4_a_ambre naxi         00:01:03,135  00:01:04,458  00:00:01,323
d5b+d4_a_ambre naxi         00:01:16,474  00:01:17,682  00:00:01,207
d5b+d4_a_ambre naxi)        00:01:19,667  00:01:22,721  00:00:03,053
d5b+d4_s_ambre naxi         00:01:11,656  00:01:15,720  00:00:04,063
d5b+d4_s_ambre naxi         00:01:25,234  00:01:25,953  00:00:00,718
d5b+d4_s_sanctuaire naxi_sans changement de ton_erreur: suggestion erronée de ma part  00:28:40,345  00:28:41,379  00:00:01,033
d5b+d5a_a_anneau naxi       00:04:06,154  00:04:07,571  00:00:01,416
d5b+d5a_s_anneau naxi       00:04:10,682  00:04:13,979  00:00:03,297
d5b+d5a_s_anneau naxi)      00:04:18,905  00:04:19,657  00:00:00,751
d5b+d5a_s_anneau naxi_détachant clairement les syllabes  00:04:24,893  00:04:29,723  00:00:04,829
d5b+d5a_s_tapis de selle naxi  00:13:35,178  00:13:42,864  00:00:07,685
d5b+d5b_s_tabouret naxi_deux dernières syllabes)  00:12:44,326  00:12:49,551  00:00:05,224
d5b+d5b_s_tabouret naxi_deux dernières syllabes)  00:12:50,108  00:12:51,246  00:00:01,137
